Program,xPONENT,,Unknown,,,
"41(1,A6)",82,50,52,52,73,227
"42(1,B6)",36,55,57,58,50,220
"43(1,C6)",33,50,56,71,66,243
"44(1,D6)",29,50,61,68,76,255
"45(1,E6)",15,72,50,72,71,265
"46(1,F6)",16,61,50,53,67,231
"47(1,G6)",229,50,78,73,83,284
"48(1,H6)",28,55,64,50,56,225
"49(1,A7)",79,58,58,50,66,232
"50(1,B7)",47,50,104,103,94,351
"51(1,C7)",40,50,62,60,68,240
"52(1,D7)",275,50,103,124,108,385
"53(1,E7)",232,50,50,50,64,214
"54(1,F7)",228,64,54,82,50,250
"55(1,G7)",197,50,54,62,52,218
"56(1,H7)",181,50,57,60,66,233
"57(1,A8)",156,50,56,66,68,240
"58(1,B8)",147,50,50,52,65,217
"59(1,C8)",141,56,50,55,67,228
"60(1,D8)",134,50,79,69,81,279
"61(1,E8)",132,70,50,77,85,282
"62(1,F8)",131,56,50,64,58,228
"63(1,G8)",113,63,50,61,53,227
"64(1,H8)",99,52,68,50,74,244
"65(1,A9)",95,50,52,65,50,217
"66(1,B9)",94,50,58,53,60,221
"67(1,C9)",87,50,50,64,70,234
"68(1,D9)",69,56,50,65,67,238
"69(1,E9)",68,61,50,55,56,222
"70(1,F9)",205,50,55,50,57,212
"71(1,G9)",24,50,147,176,194,567
"72(1,H9)",63,50,58,55,51,214
"73(1,A10)",306,51,54,52,50,207
"74(1,B10)",290,62,50,76,70,258
"75(1,C10)",17,53,51,50,68,222
"76(1,D10)",198,50,92,117,118,377
"77(1,E10)",30,50,92,82,81,305
"78(1,F10)",41,50,61,57,74,242
"79(1,G10)",55,50,66,73,61,250
"80(1,H10)",208,53,61,50,70,234
"81(1,A11)",93,57,50,89,70,266
"82(1,B11)",216,50,50,51,61,212
"83(1,C11)",219,50,63,72,76,261
"84(1,D11)",170,50,68,61,60,239
"85(1,E11)",180,69,59,59,50,237
"86(1,F11)",296,56,50,57,77,240
,,,,,,
DataType:,Result,,,,,
Location,Sample,CNTF,GDNF,NGF,BDNF,Total Events
"1(1,A1)",Standard1,9750.129498,> 336700,> 21600,919.8679682,235
"2(1,B1)",Standard2,1670.803418,> 336700,5701.605789,> 7650,246
"3(1,C1)",Standard3,430.1712229,11916.55409,1212.263258,464.2190571,236
"4(1,D1)",Standard4,97.14840984,5505.221128,374.5278212,112.0548496,276
"5(1,E1)",Standard5,25.73973431,1268.82943,94.67039322,29.52106871,256
"6(1,F1)",Standard6,6.537620544,319.6776149,18.35602893,6.290453823,230
"7(1,G1)",Standard7,2.543129899,132.9827696,6.641733567,4.005474295,227
"8(1,H1)",Background0,NaN,NaN,NaN,NaN,215
"9(1,A2)",Standard1,5670.525723,47575.95155,8699.236334,805.4613465,252
"10(1,B2)",Standard2,1725.682808,104709.9948,5234.157078,> 7650,244
"11(1,C2)",Standard3,460.6740624,21082.36264,1300.109446,515.5876832,237
"12(1,D2)",Standard4,123.6128449,6720.926044,395.6953399,122.213567,228
"13(1,E2)",Standard5,25.44165348,1279.889866,82.6073298,29.71411813,249
"14(1,F2)",Standard6,8.096303986,348.1339403,20.54763239,11.5700902,219
"15(1,G2)",Standard7,1.281057534,57.52718745,4.718711844,0.95372743,217
"16(1,H2)",Background0,NaN,NaN,NaN,NaN,266
"17(1,A3)",312,8.934191997,< 82.2021484375,0.230965287,35.99713598,258
"18(1,B3)",309,3.895063428,< 82.2021484375,0.230965287,18.5186452,230
"19(1,C3)",308,< 1.6845703125,< 82.2021484375,0.422775523,< 1.86767578125,224
"20(1,D3)",301,15.08758713,< 82.2021484375,< 5.2734375,< 1.86767578125,247
"21(1,E3)",298,17.85907102,< 82.2021484375,0.099281495,< 1.86767578125,270
"22(1,F3)",287,4.573311712,< 82.2021484375,0.099281495,< 1.86767578125,238
"23(1,G3)",286,1.749898884,< 82.2021484375,0.162145802,5.992705682,222
"24(1,H3)",284,< 1.6845703125,< 82.2021484375,0.003063804,< 1.86767578125,384
"25(1,A4)",282,3.895063428,< 82.2021484375,0.003063804,< 1.86767578125,266
"26(1,B4)",281,4.403113742,< 82.2021484375,0.044369089,5.214699918,349
"27(1,C4)",280,3.895063428,< 82.2021484375,0.003063804,< 1.86767578125,630
"28(1,D4)",264,36.52938799,< 82.2021484375,< 5.2734375,8.750697545,415
"29(1,E4)",261,7.871807537,< 82.2021484375,0.003063804,< 1.86767578125,236
"30(1,F4)",247,0.961541165,< 82.2021484375,< 5.2734375,2.490670678,242
"31(1,G4)",210,< 1.6845703125,< 82.2021484375,0.162145802,< 1.86767578125,247
"32(1,H4)",207,2.398167402,< 82.2021484375,0.129876221,11.87533186,224
"33(1,A5)",194,2.72672729,< 82.2021484375,0.003063804,< 1.86767578125,248
"34(1,B5)",193,18.60296158,< 82.2021484375,0.099281495,< 1.86767578125,441
"35(1,C5)",192,8.756545213,< 82.2021484375,0.044369089,< 1.86767578125,220
"36(1,D5)",167,< 1.6845703125,< 82.2021484375,0.003063804,< 1.86767578125,217
"37(1,E5)",162,4.063974595,< 82.2021484375,< 5.2734375,< 1.86767578125,243
"38(1,F5)",153,13.07524109,< 82.2021484375,0.044369089,< 1.86767578125,316
"39(1,G5)",148,27.47112576,< 82.2021484375,0.099281495,< 1.86767578125,265
"40(1,H5)",83,3.057808244,< 82.2021484375,0.162145802,< 1.86767578125,224
"41(1,A6)",82,14.5369732,< 82.2021484375,< 5.2734375,< 1.86767578125,227
"42(1,B6)",36,< 1.6845703125,< 82.2021484375,0.422775523,< 1.86767578125,220
"43(1,C6)",33,10.00463849,< 82.2021484375,0.304642924,< 1.86767578125,243
"44(1,D6)",29,1.91073456,< 82.2021484375,0.099281495,0.653903644,255
"45(1,E6)",15,8.579125903,< 82.2021484375,< 5.2734375,< 1.86767578125,265
"46(1,F6)",16,1.749898884,< 82.2021484375,< 5.2734375,< 1.86767578125,231
"47(1,G6)",229,51.08197706,< 82.2021484375,0.162145802,21.17515754,284
"48(1,H6)",28,24.42800314,< 82.2021484375,< 5.2734375,< 1.86767578125,225
"49(1,A7)",79,13.25741482,< 82.2021484375,0.044369089,< 1.86767578125,232
"50(1,B7)",47,5.086259798,< 82.2021484375,0.003063804,< 1.86767578125,351
"51(1,C7)",40,25.75655659,< 82.2021484375,< 5.2734375,< 1.86767578125,240
"52(1,D7)",275,42.78347203,< 82.2021484375,0.230965287,< 1.86767578125,385
"53(1,E7)",232,0.807918839,< 82.2021484375,< 5.2734375,< 1.86767578125,214
"54(1,F7)",228,< 1.6845703125,< 82.2021484375,0.003063804,< 1.86767578125,250
"55(1,G7)",197,16.19260797,< 82.2021484375,0.003063804,< 1.86767578125,218
"56(1,H7)",181,< 1.6845703125,< 82.2021484375,0.044369089,< 1.86767578125,233
"57(1,A8)",156,6.993318857,< 82.2021484375,0.044369089,< 1.86767578125,240
"58(1,B8)",147,< 1.6845703125,< 82.2021484375,0.129876221,< 1.86767578125,217
"59(1,C8)",141,3.057808244,< 82.2021484375,0.099281495,< 1.86767578125,228
"60(1,D8)",134,5.948351458,< 82.2021484375,0.099281495,2.490670678,279
"61(1,E8)",132,2.072429197,< 82.2021484375,0.230965287,< 1.86767578125,282
"62(1,F8)",131,1.91073456,< 82.2021484375,0.021216927,< 1.86767578125,228
"63(1,G8)",113,10.00463849,< 82.2021484375,0.003063804,3.610623752,227
"64(1,H8)",99,7.871807537,< 82.2021484375,0.099281495,< 1.86767578125,244
"65(1,A9)",95,< 1.6845703125,< 82.2021484375,0.230965287,< 1.86767578125,217
"66(1,B9)",94,< 1.6845703125,< 82.2021484375,0.003063804,< 1.86767578125,221
"67(1,C9)",87,< 1.6845703125,< 82.2021484375,0.129876221,< 1.86767578125,234
"68(1,D9)",69,14.5369732,< 82.2021484375,< 5.2734375,1.300545418,238
"69(1,E9)",68,< 1.6845703125,< 82.2021484375,< 5.2734375,< 1.86767578125,222
"70(1,F9)",205,< 1.6845703125,< 82.2021484375,0.003063804,< 1.86767578125,212
"71(1,G9)",24,16.00809617,< 82.2021484375,0.021216927,< 1.86767578125,567
"72(1,H9)",63,15.45537519,< 82.2021484375,0.003063804,1.907454859,214
"73(1,A10)",306,3.391169369,< 82.2021484375,0.070638604,< 1.86767578125,207
"74(1,B10)",290,< 1.6845703125,< 82.2021484375,< 5.2734375,< 1.86767578125,258
"75(1,C10)",17,< 1.6845703125,< 82.2021484375,0.636396057,< 1.86767578125,222
"76(1,D10)",198,27.85308764,< 82.2021484375,< 5.2734375,< 1.86767578125,377
