Program,xPONENT,,Unknown,,,
"13(1,E2)",Standard5,2277.116604,11934.67776,6831.770994,652.5999555,252
"14(1,F2)",Standard6,< 2.3193359375,3054.471078,166.7923102,136.5359289,295
"15(1,G2)",Standard7,< 2.3193359375,768.7997888,1070.884318,40.86852285,244
"16(1,H2)",Background0,NaN,NaN,NaN,NaN,283
"17(1,A3)",312,> 9500,1115.553153,19456.91093,6051.723197,253
"18(1,B3)",309,> 9500,4244.363727,14577.50843,7442.638889,601
"19(1,C3)",308,> 9500,1404.620029,32476.6218,8215.329908,248
"20(1,D3)",301,> 9500,1619.63499,25341.20255,4758.884883,220
"21(1,E3)",298,> 9500,< 786.279296875,28225.22231,5688.743923,432
"22(1,F3)",287,> 9500,6542.665059,17846.12193,4843.280093,243
"23(1,G3)",286,> 9500,442.7221704,27890.62891,6090.497787,255
"24(1,H3)",284,> 9500,6310.791709,20994.95478,9098.210333,232
"25(1,A4)",282,> 9500,6139.783437,16609.63467,5015.941368,283
"26(1,B4)",281,> 9500,661.8647579,23150.54955,4787.988191,237
"27(1,C4)",280,> 9500,3104.764578,15005.69997,4621.915924,250
"28(1,D4)",264,3269.491072,< 786.279296875,22823.95062,1953.169287,285
"29(1,E4)",261,> 9500,3678.599035,24701.50578,1818.599084,212
"30(1,F4)",247,> 9500,3337.529098,32537.28947,9651.079362,240
"31(1,G4)",210,> 9500,5981.360149,31336.05904,7778.6597,227
"32(1,H4)",207,> 9500,9623.650607,23727.65731,7401.108573,311
"33(1,A5)",194,> 9500,2754.794344,31547.22478,5145.772667,247
"34(1,B5)",193,> 9500,15156.08977,21748.78049,8678.500483,264
"35(1,C5)",192,> 9500,4419.221406,25594.26158,7114.934122,239
"36(1,D5)",167,> 9500,3279.231397,19494.73035,6283.891862,308
"37(1,E5)",162,> 9500,4857.789012,27292.92317,6232.354083,300
"38(1,F5)",153,> 9500,2147.953658,22866.29372,6725.901706,302
"39(1,G5)",148,> 9500,4305.644569,14697.35721,3205.502835,1239
"40(1,H5)",83,> 9500,2471.321732,21383.42375,4853.721992,216
"41(1,A6)",82,> 9500,< 786.279296875,25341.20255,5342.452398,331
"42(1,B6)",36,> 9500,1852.639058,33169.13956,5690.808672,220
"43(1,C6)",33,> 9500,2758.645903,30380.75139,7923.206951,261
"44(1,D6)",29,> 9500,3072.52002,40233.06588,6217.551904,279
"45(1,E6)",15,> 9500,1493.413798,31451.61229,4749.508961,232
"46(1,F6)",16,> 9500,136.2903646,35633.85641,7267.246713,303
"47(1,G6)",229,> 9500,< 786.279296875,31751.05304,8510.082222,270
"48(1,H6)",28,> 9500,11279.20642,31094.54776,5185.78937,258
"49(1,A7)",79,> 9500,1904.397105,27560.11119,4632.686786,272
"50(1,B7)",47,> 9500,17070.13646,26285.66192,8691.740653,223
"51(1,C7)",40,> 9500,1266.69154,32165.99679,3352.840512,291
"52(1,D7)",275,> 9500,3381.627387,20031.76381,4057.644539,320
"53(1,E7)",232,> 9500,2386.695393,29823.34883,5276.331863,303
"54(1,F7)",228,> 9500,4443.330745,26623.6896,5627.176699,237
"55(1,G7)",197,> 9500,6014.101338,20110.75714,7030.992618,281
"56(1,H7)",181,2826.949621,4776.28927,26731.22521,3504.94294,278
"57(1,A8)",156,> 9500,11921.90823,25945.90471,5511.174518,225
"58(1,B8)",147,> 9500,6105.441462,30031.6607,7128.150892,231
"59(1,C8)",141,> 9500,4432.612961,26187.41728,6440.155854,226
"60(1,D8)",134,> 9500,< 786.279296875,27239.57177,4522.909487,228
"61(1,E8)",132,> 9500,3686.445785,20581.02432,5752.085322,254
"62(1,F8)",131,> 9500,< 786.279296875,28590.93835,4223.037395,237
"63(1,G8)",113,> 9500,1628.798838,30916.43771,9189.523297,265
"64(1,H8)",99,> 9500,1965.103044,27554.16589,3980.281214,274
"65(1,A9)",95,> 9500,713.5466447,31497.86641,6147.485213,259
"66(1,B9)",94,> 9500,994.6895187,28042.85198,6588.581981,229
"67(1,C9)",87,> 9500,1829.316681,30594.71607,6325.459251,264
"68(1,D9)",69,> 9500,2643.152324,39492.56202,14807.23059,241
"69(1,E9)",68,> 9500,34578.78792,35863.8084,7617.103757,272
"70(1,F9)",205,> 9500,3581.961372,30999.31591,5368.566731,246
"71(1,G9)",24,> 9500,32448.81732,22150.81657,4557.022263,697
"72(1,H9)",63,> 9500,33784.86714,22079.47489,2979.632105,285
"73(1,A10)",306,> 9500,1420.571706,25329.58434,4831.127793,220
"74(1,B10)",290,> 9500,1288.246921,25740.01099,3204.930924,232
"75(1,C10)",17,> 9500,57479.06089,28325.51501,6927.616324,219
"76(1,D10)",198,> 9500,< 786.279296875,28997.13232,9362.702704,381
"77(1,E10)",30,> 9500,8153.271003,26489.80588,3978.862806,240
"78(1,F10)",41,> 9500,516.3390626,23254.02602,4501.925428,269
"79(1,G10)",55,> 9500,10535.34203,32624.45659,5918.658571,212
"80(1,H10)",208,> 9500,752.471833,25944.44288,4293.723756,325
"81(1,A11)",93,> 9500,231.0347395,30741.67369,5283.952935,243
"82(1,B11)",216,> 9500,1474.912264,32781.83111,5468.463924,220
"83(1,C11)",219,> 9500,97.89226219,33220.77101,3877.383029,211
"84(1,D11)",170,> 9500,288.0189247,19494.73035,2289.491748,349
"85(1,E11)",180,> 9500,100.8182073,36209.49953,3787.953569,244
"86(1,F11)",296,> 9500,12960.69247,36774.80102,2424.577966,265
,,,,,,
DataType:,Range,,,,,
Location,Sample,S100B,UCHL1,GFAP,NF-H,Total Events
"1(1,A1)",Standard1,,,,,324
"2(1,B1)",Standard2,,,,,266
"3(1,C1)",Standard3,,,,,280
"4(1,D1)",Standard4,,,,,258
"5(1,E1)",Standard5,,,,,236
"6(1,F1)",Standard6,,,,,301
"7(1,G1)",Standard7,,,,,229
