mm,N/mm_
0.631103525,0.032639094
0.631787116,-0.038233373
0.632470706,-0.0218153
0.633154297,0.022879757
0.633837888,0.017220115
0.634472643,-0.01614329
0.635156292,0.011271503
0.635790988,0.007433614
0.636474637,0.003085445
0.637109391,0.015688429
0.637792924,0.027937321
0.638476573,-0.007091649
0.639062549,0.024380643
0.639746082,0.019661041
0.640380837,0.004418866
0.641064486,-0.002985402
0.641748076,-0.03390497
0.642431609,0.026545813
0.643066422,-0.028104907
0.643701176,-0.040246844
0.644384767,0.003617795
0.645019521,-0.010444966
0.645703112,-0.021517474
0.646386761,-0.003238117
0.647070294,0.020705732
0.647753885,0.002239021
0.648437475,-0.013634942
0.649072288,0.016545644
0.649755821,0.000965384
0.650488248,-0.012744377
0.651171838,0.016797753
0.651855487,0.000874557
0.652539078,-0.006863066
0.653173833,-0.002986372
0.653857423,-0.014392842
0.654492178,0.01489439
0.655224605,-0.002817815
0.65585936,0.007282519
0.65654295,0.002876143
0.657177763,-0.023643842
0.657812459,0.02939067
0.658447272,0.022314545
0.659082027,-0.007394688
0.659716781,0.002677512
0.660400372,0.011804338
0.661035185,-0.027207552
0.661669881,-0.002503741
0.662304694,-0.021185817
0.662939448,0.059420284
0.663623039,0.036312308
0.66430663,-0.029274622
0.664941443,0.025184261
0.665576139,0.015407338
0.666210952,-0.005845053
0.666894543,0.011791969
0.667578075,-0.019290701
0.668261724,0.019487755
0.668945315,-0.001713826
0.669580128,-0.009158353
0.67026366,0.028396791
0.670947251,0.040388845
0.671630842,0.005389343
0.672314491,-0.000498881
0.672998081,-0.010983501
0.673681614,0.034518082
0.674365205,-0.027311355
0.675048854,0.0227939
0.675732445,0.019482177
0.676367141,-0.031763446
0.677099568,-0.002671813
0.677783217,0.030816495
0.678466808,0.00106761
0.679101562,-0.015348404
0.679736317,-0.041158751
0.680371129,-0.019842332
0.68105472,0.056138512
0.681689417,0.020070914
0.682373066,0.027018866
0.68300782,0.014871715
0.683642575,0.015953997
0.684277329,-0.000260597
0.684960978,0.02723423
0.685595674,0.017219389
0.686279323,0.011312611
0.686962914,0.003404249
0.687597611,-0.036530584
0.688281259,0.011114708
0.688916014,0.014752269
0.689599605,-0.00191464
0.690283196,-0.02402922
0.690966786,0.029608218
0.691601599,0.03994732
0.69228519,-0.015645016
0.692968722,0.007514376
0.693603535,0.014187057
0.694287126,0.002136432
0.694970717,-0.000215123
0.695654249,0.011637841
0.696337898,0.011710358
