Wavelength,Temperature,Control 1A,25 ppm 1A,20 ppm 1A,Control 2A,25 ppm 2A,20 ppm 2A,Control 3A,25 ppm 3A,20 ppm 3A,Control 1B,25 ppm 1B,20 ppm 1B,Control 2B,25 ppm 2B,20 ppm 2B,Control 3B,25 ppm 3B,20 ppm 3B,Control 1C,25 ppm 1C,20 ppm 1C,Control 2C,25 ppm 2C,20 ppm 2C,Control 3C,25 ppm 3C,20 ppm 3C,
620,24.1,0.0166,-0.2683,-0.1579,-0.0875,0.0429,0.0114,0.0709,-0.2012,-0.0263,0.0183667,-0.2749333,-0.1576333,-0.085933333,0.045066667,0.015866667,0.067566667,-0.195333333,-0.021333333,0.021166667,-0.273833333,-0.157133333,-0.088633333,0.048466667,0.017966667,0.067466667,-0.195133333,-0.020933333,
630,24.1,0.017966667,-0.266133333,-0.159833333,-0.087333333,0.039166667,0.010466667,0.069366667,-0.201733333,-0.024933333,0.0196333,-0.2735667,-0.1593667,-0.086066667,0.041533333,0.015533333,0.066433333,-0.195566667,-0.018866667,0.0226,-0.2725,-0.1589,-0.0886,0.0446,0.0171,0.066,-0.1954,-0.0198,
640,24.1,0.019133333,-0.264166667,-0.161366667,-0.087566667,0.035733333,0.010733333,0.068433333,-0.202366667,-0.023666667,0.0205667,-0.2714333,-0.1608333,-0.086233333,0.037966667,0.015966667,0.065666667,-0.196533333,-0.018533333,0.0241,-0.27,-0.1607,-0.0891,0.041,0.0175,0.065,-0.1967,-0.0196,
650,24.1,0.020033333,-0.266466667,-0.164366667,-0.086166667,0.032533333,0.008433333,0.066133333,-0.202166667,-0.023266667,0.0216,-0.2738,-0.1641,-0.0849,0.0343,0.0133,0.0633,-0.1967,-0.0176,0.024733333,-0.270266667,-0.163166667,-0.087566667,0.038833333,0.015033333,0.062833333,-0.196266667,-0.018866667,
660,24.1,0.020166667,-0.266433333,-0.166333333,-0.085633333,0.030366667,0.007466667,0.065466667,-0.203733333,-0.022733333,0.0216667,-0.2737333,-0.1662333,-0.084233333,0.031966667,0.011866667,0.062566667,-0.198533333,-0.017933333,0.025166667,-0.272233333,-0.165733333,-0.087333333,0.035866667,0.014466667,0.062166667,-0.197933333,-0.017333333,
670,24.1,0.020866667,-0.266033333,-0.168933333,-0.084633333,0.026666667,0.006866667,0.063766667,-0.205133333,-0.019733333,0.0224,-0.2723,-0.1681,-0.0836,0.0295,0.0114,0.0612,-0.1994,-0.0152,0.0261,-0.2711,-0.1676,-0.0865,0.0323,0.0135,0.0604,-0.1986,-0.0156,
680,24.1,0.0233,-0.2639,-0.1692,-0.085,0.0229,0.0079,0.0617,-0.2039,-0.0161,0.0244,-0.2693,-0.1686,-0.0832,0.0263,0.0122,0.0588,-0.1983,-0.0117,0.0281,-0.2689,-0.1681,-0.0864,0.0292,0.015,0.0583,-0.1978,-0.0107,
690,24.2,0.025166667,-0.260033333,-0.169833333,-0.084933333,0.019766667,0.008766667,0.059766667,-0.203733333,-0.012233333,0.0265,-0.2677,-0.1689,-0.0831,0.0223,0.0136,0.0566,-0.1975,-0.0075,0.0301,-0.2663,-0.1685,-0.0859,0.0257,0.0154,0.0558,-0.1972,-0.0069,
700,24.2,0.0264,-0.2591,-0.1708,-0.0841,0.0173,0.0091,0.0577,-0.2028,-0.0083,0.0282,-0.2664,-0.1699,-0.083,0.0196,0.0136,0.0548,-0.1969,-0.0043,0.031666667,-0.264733333,-0.169433333,-0.085833333,0.022666667,0.015466667,0.054166667,-0.196633333,-0.004833333,
710,24.2,0.028,-0.2558,-0.1714,-0.0845,0.0142,0.01,0.0565,-0.2031,-0.0068,0.0293667,-0.2640333,-0.1705333,-0.082733333,0.016266667,0.015066667,0.053366667,-0.197633333,-0.002133333,0.0332,-0.2629,-0.1702,-0.0859,0.0197,0.017,0.0527,-0.1972,-0.0032,
