mm,microN
2.2,300167.2
2.2,241693.1
2.2,-6831
2.2,94489.3
2.2,171162.2
2.2,132627.7
2.2,-15897.8
2.2,487602.8
2.2,230062.3
2.2,230763
2.2,301959.7
2.2,643324.2
2.2,196862.5
2.2,295645.9
2.2,156600.7
2.2,169773.5
2.2,-147552.2
2.2,365439.4
2.2,327528.9
2.2,259798.7
2.2,208162.3
2.2,295164.6
2.2,301230.9
2.2,473179.1
2.2,246519.1
2.2,270667.7
2.2,322636.9
2.2,344862
2.3,3638.2
2.3,180348.4
2.3,365593.6
2.3,96868.8
2.3,265369
2.3,292099
2.3,149314.5
2.3,220647.1
2.3,220869.3
2.3,93703.2
2.3,264985.7
2.3,205645
2.3,221409.8
2.3,411838.3
2.3,-46127.2
2.3,251359.7
2.3,236369.2
2.3,230198.2
2.3,390651.5
2.3,416039.3
2.3,208540.8
2.3,774421.6
2.3,52933.9
2.3,367775.2
2.3,149974.4
2.3,480891.2
2.3,80252.9
2.3,193690.1
2.3,251991.5
2.3,270109.7
2.3,273568.3
2.3,285340.8
2.3,256693.3
2.3,227843.9
2.3,451827.4
2.3,422190
2.3,402854.8
2.3,280216.8
2.3,392174.1
2.3,362316.5
2.3,335377.9
2.3,234570.1
2.3,363377.1
2.3,190775.8
2.3,290340.5
2.3,141764.5
2.3,548024.6
2.3,292274.6
2.3,388568
2.3,313697.2
2.3,274607.7
2.3,295044.3
2.3,172092.8
2.3,500625.2
2.3,197426.3
2.3,151077.8
2.3,525161.9
2.3,159353.8
2.3,255530.7
2.3,188497.2
2.4,240430.6
2.4,370438.1
2.4,407261.6
2.4,231269.6
2.4,269067.4
2.4,282905
2.4,298534
2.4,194050.1
2.4,242803.3
2.4,278586.5
2.4,41364.2
2.4,248051.5
2.4,287730
2.4,225617.7
2.4,223876.7
2.4,199987.3
2.4,121706.4
2.4,303280.4
2.4,172711
2.4,131156.6
2.4,319258.8
2.4,157532.3
2.4,446574.3
2.4,228196.2
2.4,289998.9
2.4,233425.9
2.4,289187.6
2.4,224247.4
2.4,196754.7
2.4,260708
2.4,288655.8
2.4,274565.9
2.4,325571.6
2.4,263132.2
2.4,464883.7
2.4,539138.2
2.4,295173.4
2.4,497133.5
2.4,592718.5
2.4,378772.3
2.4,368703
2.4,225183.9
2.4,283719.2
2.4,361581.8
2.4,304781.7
2.4,154945.1
2.4,269451.7
2.4,330708.1
2.4,388910.5
2.4,357594.3
2.4,404765.6
2.4,314593.9
2.4,308461.7
2.4,331151.6
2.4,101026.2
2.4,285257.3
2.4,263931.8
2.4,199396.3
2.4,272451.3
2.4,227379.1
2.5,352145.2
2.5,160211.7
2.5,195957
2.5,375427.2
2.5,69086.9
2.5,317837.1
2.5,274118.6
2.5,163788.7
2.5,171662.9
2.5,305344.6
2.5,280025.7
2.5,314023.3
2.5,146455.6
2.5,280246
2.5,304111.1
2.5,303691.9
2.5,173861.9
2.5,211881.1
2.5,309186.6
2.5,254814.5
2.5,348533.2
2.5,281267.8
2.5,356933.4
2.5,244804.4
2.5,378584
2.5,475355.8
2.5,297503.4
2.5,288866.4
2.5,348564.3
2.5,445302.1
2.5,303504.6
2.5,206949.3
2.5,331300.1
2.5,190448.8
2.5,185987.7
2.5,392099.4
2.5,359010.2
2.5,423371
2.5,300258.5
2.5,353226.3
2.5,267031.4
2.5,144377.9
2.5,388894
2.5,259124.2
2.5,238148.1
2.5,583383.8
2.5,358020.3
2.5,-24204.8
2.5,150864.4
2.5,316503.7
2.5,615022.2
2.5,217320.4
2.5,108668.4
2.5,281729.8
2.5,286005.6
2.5,458619.5
2.5,476009.9
2.5,265229.3
2.5,348133.4
2.5,196161.8
2.6,269902
2.6,248087.4
2.6,379756.3
2.6,400192.9
2.6,445061.4
2.6,315698.2
2.6,265291.4
2.6,473910.8
2.6,338343.6
2.6,249913.7
2.6,247630.3
2.6,187974.2
2.6,330584.9
2.6,342313.7
2.6,324634.1
2.6,383197.5
2.6,283619.2
2.6,447398.3
2.6,379577.8
2.6,340314.6
2.6,318858
2.6,344144.9
2.6,487275.8
2.6,430066.1
2.6,286499.5
2.6,271135.4
2.6,430643.5
2.6,242128.8
2.6,350725.5
2.6,294867.7
2.6,357617.6
2.6,300645.7
2.6,192283.9
2.6,368167.3
2.6,456492.3
2.6,373358.2
2.6,398619.8
2.6,320876.5
2.6,411341.4
2.6,308938.1
2.6,299569.4
2.6,280085.8
2.6,362959.9
2.6,325196
2.6,266094
2.6,244350.2
2.6,138418.4
2.6,205803.2
2.6,324709.8
2.6,199642.8
2.6,174101.6
